Date,Open,High,Low,Close,    Volume
8/24/21,1575,1642.55,1565.77,1625.18,7259447
8/25/21,1647.64,1680.87,1643,1665.02,5423890
8/26/21,1664.99,1664.99,1594.72,1595,5402037
8/27/21,1589,1625,1584.1,1596.03,3609545
8/30/21,1605,1613,1545.95,1586,5158770
8/31/21,1589.8,1616.35,1555.1,1558,4367709
9/1/21,1559,1634.99,1531.1,1622.01,7731610
9/2/21,1632.99,1643,1600.89,1618.8,4283679
9/3/21,1610.02,1659.79,1582,1658.22,5283518
9/6/21,1649,1708.16,1626.15,1670.67,5533806
9/7/21,1661.03,1684.48,1651,1669,3121122
9/8/21,1660,1671.18,1628.08,1633.1,3306367
9/9/21,1626,1645,1624.01,1634.08,1995013
9/10/21,1634.08,1668.8,1633,1662.58,3338811
9/13/21,1665,1684,1640.1,1654,2772002
9/14/21,1659,1683,1653,1657,3376061
9/15/21,1650,1660,1610,1615.74,4157005
9/16/21,1603,1644,1585,1638.07,4596802
9/17/21,1620,1705.6,1620,1686,5513025
9/22/21,1658.83,1688,1635,1637.69,3174300
9/23/21,1638,1655.88,1625.08,1635,3034181
9/24/21,1628,1719.98,1628,1694,6953660
9/27/21,1750,1863.4,1750,1855,12686892
9/28/21,1848,1860,1795,1822.06,4922105
9/29/21,1809,1845.01,1785.9,1820,4329065
9/30/21,1818.18,1850.22,1803.4,1830,4053929
10/8/21,1822.42,1878,1807.23,1839.6,4745196
10/11/21,1839.51,1889.9,1831.01,1867.12,3767557
10/12/21,1866,1877,1842.42,1870.99,3060642
10/13/21,1870,1949.95,1862,1929.9,5014261
10/14/21,1928.93,1941.8,1896,1911,2662255
10/15/21,1890.1,1929.99,1890.1,1916.97,2856078
10/18/21,1888,1888,1787,1800,6965202
10/19/21,1800,1838.8,1799.88,1812.18,4031456
10/20/21,1833,1849.8,1806.01,1841,2866339
10/21/21,1841.1,1860,1829,1844,2301870
10/22/21,1855,1921.01,1854,1901,3596260
10/25/21,1880,1885.01,1858,1873.03,3246133
10/26/21,1864.03,1878.99,1844,1861.05,2113026
10/27/21,1852.3,1858.3,1800.1,1819,3464729
10/28/21,1825.2,1843.78,1802,1825.49,2949093
10/29/21,1825,1848,1813,1826.08,2877586
11/1/21,1780,1826.3,1760,1803,4168998
11/2/21,1796.7,1844.22,1788,1804.64,3250024
11/3/21,1800,1809.98,1761.19,1765,2782931
11/4/21,1777.94,1816,1769.42,1804.2,3113043
11/5/21,1804.21,1844.99,1804.21,1819.94,2707723
